Network,Species,densSD,Dens,rankSD,Rank,cvDens,spName,LifeSpan,r
Beagle,89,5519.335921450457,428.6227128712871,3.9656301166677377,7,12.876909589034964,Macroalgae,1,1
Beagle,66,1388.734403751346,270.57087128712874,3.995192305954938,7,5.132608684538058,Diatomea,1,1
Beagle,46,878.921374549762,256.1410099009901,4.083733080880275,8,3.4313965377488915,Aged detritus,1,1
Beagle,43,765.9660337218065,250.54653465346536,4.5179654726449625,7,3.0571807140786262,Ulva sp.,1,1
Beagle,84,699.2218918050843,243.32144554455445,4.9635080751835625,8,2.8736550131872787,Ceramium diaphanum,1,1
Beagle,45,643.9294767699478,239.76579207920793,5.164816679353809,8,2.68566033205113,Ulva rigida,1,1
Beagle,93,780.763648024183,232.73449504950494,5.755761703961761,8,3.354739691072038,Callophyllis pinnata,1,1
Beagle,92,582.8991157686479,218.2019702970297,4.3568811566777095,8,2.671374208835834,Adenocystis utricularis,1,1
Beagle,94,675.1709628276976,210.00645544554456,4.303485911559486,8,3.2150009931612407,Nothogenia fastigiata,1,1
Beagle,4,496.6357297564823,202.98121782178217,5.547973595017461,8,2.446707804229105,Macrocystis pyrifera,1,1
Beagle,51,445.1962529088892,193.02830693069308,4.303239927528312,7,2.306378064377559,Cephalopoda,1,1
Beagle,71,411.70957533788095,184.31226732673267,4.313247976653801,8,2.2337611126449777,Necromass,1,1
Beagle,2,332.81904833459623,168.10522772277227,5.318783080127769,9,1.979825689201402,Fresh detritus,1,1
Beagle,1,307.981497151608,166.07129702970298,4.7356023830057765,9,1.8545137098346587,Phytoplankton,1,1
Beagle,33,35.70754198820771,16.791712871287128,13.952560695082097,28,2.1264978898767124,Siphonaria lessoni,12,0.08333333333333333
Beagle,16,26.04185740826256,15.336118811881189,9.905256084428016,24,1.6980735300568632,Pseudechinus magellanicus,100,0.01
Beagle,120,22.571712836629974,13.577435643564357,8.259938897509514,25,1.6624429994870837,Squalus acanthias,45,0.022222222222222223
Beagle,113,16.00308233599464,13.041514851485148,7.987437333410195,25,1.2270876902135517,Cosmasterias lurida,100,0.01
Beagle,115,33.799269137789004,12.781792079207921,10.627593553798754,30,2.6443294436599474,Eleginops maclovinus,11,0.09090909090909091
Beagle,67,22.38594720746128,12.592188118811881,9.709013798988494,27,1.7777646741171365,Arbacia dufresnii,100,0.01
Beagle,110,20.03549558290848,11.12329702970297,9.030700612552339,28,1.801219146572003,Bathyraja magellanica,20,0.05
Beagle,108,15.545041736758716,10.845930693069306,9.731458898453628,29,1.4332602868919497,Austrolycus depressiceps,14,0.07142857142857142
Beagle,118,16.140353518426096,10.72218811881188,12.172941283826995,32,1.5053227325967304,Ophiophragmus chilensis,100,0.01
Beagle,54,14.89066675750613,10.595029702970297,8.982726110060819,28,1.4054388873805195,Genypterus blacodes,30,0.03333333333333333
Beagle,61,17.62914733993059,10.454267326732673,9.214765482794604,28,1.6863111291262838,Bathyraja griseocauda,20,0.05
Beagle,64,22.966323892603974,10.293336633663367,12.372026148979433,37,2.231183600611567,Patagonotothen tessellata,14,0.07142857142857142
Beagle,22,32.25078572819091,10.248871287128713,13.206453021209033,38,3.1467646362867123,Eurhomalea exalbida,70,0.014285714285714285
Beagle,32,32.48957767816996,9.84289108910891,16.56465571084466,53,3.300816536933894,Polyplacophora,6,0.16666666666666666
Beagle,119,14.81110716969168,9.650861386138613,9.642020771838473,31,1.5346927675248396,Schroederichthys bivius,11,0.09090909090909091
Beagle,57,6.8987079785196315,9.415178217821783,8.872081651609886,29,0.7327219749766626,Bathyraja brachyurops,20,0.05
Beagle,25,9.195038695723005,8.831306930693069,12.961928698908796,36,1.0411866293272847,Hiatella arctica,126,0.007936507936507936
Beagle,91,10.737209498599812,8.645643564356435,13.83183106282572,37,1.241921369840681,Porifera,100,0.01
Beagle,47,5.96651202639404,8.599099009900991,10.752965277646073,32,0.6938531606071991,Dissostichus eleginoides,50,0.02
Beagle,76,7.336495398969083,8.506445544554456,9.946998480887537,32,0.8624631005444646,Bathyraja albomaculata,20,0.05
Beagle,40,14.868787930946121,8.364267326732673,11.345161818885467,39,1.7776557527548924,Harpagifer bispinis,9,0.1111111111111111
Beagle,29,24.71913309177369,8.169,16.364968781002986,60,3.0259680611792983,Nacella deaurata,4,0.25
Beagle,42,4.0631616935801445,8.15870297029703,11.330136274025492,32,0.4980156415024163,Anasterias antarctica,40,0.025
Beagle,27,16.519583229812667,8.079237623762376,17.341395416603458,54.5,2.044695799171179,Munida gregaria,9,0.1111111111111111
Beagle,77,8.11437445249092,8.042049504950494,10.120585815912886,33,1.0089933477151445,Salilota australis,16,0.0625
Beagle,60,15.945978364765212,7.863207920792079,12.462445327605005,38,2.0279227670681936,Myxine glutinosa,30,0.03333333333333333
Beagle,72,16.91559968474773,7.810762376237624,11.454070006758286,38,2.1656784408407295,Paralomis granulosa,12,0.08333333333333333
Beagle,58,6.268815909518445,7.772009900990099,10.579697822055504,35,0.8065887703925649,Cottoperca gobio,14,0.07142857142857142
Beagle,104,4.627248980227667,7.555059405940594,10.731127298336046,35,0.6124702310863671,Champsocephalus esox,15,0.06666666666666667
Beagle,56,2.9674469714905287,7.197960396039604,10.67345837644546,35,0.4122621976529977,Merluccius hubbsi,18,0.05555555555555555
Beagle,109,19.933621547008933,7.033019801980198,13.23859703486181,52,2.834290547766761,Bathybiaster loripes,10,0.1
Beagle,70,17.168800515419058,6.869405940594059,13.724105328474675,50,2.499313719977119,Loxechinus albus,14,0.07142857142857142
Beagle,117,12.578689779254717,6.751188118811881,11.775109222304371,45,1.8631816441619757,Glabraster antarctica,10,0.1
Beagle,79,6.7380577899413,6.728980198019802,14.97705619313128,46,1.0013490293706273,Ophiuroidea,100,0.01
Beagle,90,5.4611673321443455,6.695019801980198,13.109148285406214,44,0.815705926744098,Zygochlamys patagonica,18,0.05555555555555555
Beagle,20,17.095782275997472,6.655782178217822,14.665092701512114,60,2.5685609622181333,Nacella magellanica,4,0.25
Beagle,68,13.24063606339117,6.644386138613862,13.41655096661732,52,1.992755355749599,Fissurella picta,10,0.1
Beagle,100,2.031649951047191,6.636524752475247,10.373861045579558,39,0.30613160152675384,Paranotothenia magellanica,14,0.07142857142857142
Beagle,59,7.017462906408108,6.533128712871287,11.052289541271708,43,1.0741351065964162,Lithodes santolla,12,0.08333333333333333
Beagle,18,2.2024380334924114,6.420742574257425,12.234573338894362,40,0.3430192081399757,Trophon geversianus,40,0.025
Beagle,12,18.740967397819908,6.373188118811881,14.624186056591936,62,2.940595357997009,Nacella mytilina,4,0.25
Beagle,13,14.35106811528296,6.07150495049505,13.671079599556776,56,2.3636756014030462,Pagurus sp.,10,0.1
Beagle,10,26.682404925935,5.988049504950495,15.968434202854413,73,4.455942607668136,Halicarcinus planatus,3,0.3333333333333333
Beagle,11,25.066575343633623,5.608554455445544,12.301571959415313,61,4.469346877660357,Margarella violacea,10,0.1
Beagle,48,2.732071149503065,5.589138613861386,11.277969524546355,48,0.4888179267423018,Patagonotothen longipes ramsayi,14,0.07142857142857142
Beagle,62,1.2388180094794203,5.310485148514852,10.653653426469782,47,0.23327774672825746,Patagonotothen brevã­cauda brevicauda,14,0.07142857142857142
Beagle,8,9.63381292810747,5.300792079207921,11.948656886922526,57,1.8174289397042374,Fissurella oriens,10,0.1
Beagle,63,1.1923439819449697,5.1488811881188115,10.30343048113976,49,0.23157341146195742,Patagonotothen sima,14,0.07142857142857142
Beagle,107,0.9359903236380053,5.05380198019802,8.765632910424685,50,0.1852051836034405,Asterina fimbriata,7,0.14285714285714285
Beagle,41,1.0736539109810452,4.812990099009901,10.364799084403906,52,0.2230741989687265,Patagonotothen cornucola,14,0.07142857142857142
Beagle,14,4.568828053534499,4.780257425742574,11.384741030358507,57,0.9557702957440141,Pareuthria fuscata,10,0.1
Beagle,24,0.8255009101178891,4.360207920792079,8.598528868283154,54.5,0.18932604249935125,Xymenopsis muriciformis,8,0.125
Beagle,65,3.1989710418167654,3.7258118811881187,8.791612847279872,63,0.8585970370561624,Campylonotus vagans,10,0.1
Beagle,69,0.48790397286160914,3.691841584158416,5.379283194598301,60,0.13215734254557152,Fusitriton magellanicus,5,0.2
Beagle,97,18.243870859632594,3.411871287128713,9.864864649581083,74,5.3471744167072215,Laevilitorina caliginosa,5,0.2
Beagle,98,4.793175306028323,3.322376237623762,9.119371575823525,67,1.4426949156897744,Exosphaeroma gigas,8,0.125
Beagle,50,3.185886022950822,3.121950495049505,7.060072210651929,67,1.020479353533216,Euphausiacea,6,0.16666666666666666
Beagle,28,2.244300611878128,3.0686831683168316,8.13851334086266,67,0.731356249172222,Mytilus edulis,6,0.16666666666666666
Beagle,15,2.427164896721363,2.9454851485148517,8.830520771568187,70,0.824028903335387,Plaxiphora sp.,6,0.16666666666666666
Beagle,114,19.658564659161915,2.8164752475247523,9.231528644873565,91,6.979846414925451,Drepanopus forcipatus,2,0.5
Beagle,26,11.74912363177032,2.789138613861386,14.250718683034298,92,4.212455979555782,Isopoda,2,0.5
Beagle,103,7.479872463993514,2.7586336633663366,10.348464703603236,78,2.711441016371087,Nereididae,3,0.3333333333333333
Beagle,81,0.5255004208427179,2.750980198019802,4.869261721217069,69,0.19102297472769203,Ctenophora,3,0.3333333333333333
Beagle,6,1.0668073099607676,2.7248613861386137,7.054984678141318,70,0.39150883615130766,Aulacomya atra,5,0.2
Beagle,44,0.818782973323984,2.7094455445544554,6.371359762658596,70,0.30219576657283426,Nemertea,3,0.3333333333333333
Beagle,106,0.7861821057236812,2.5723663366336633,5.831768644718817,72,0.30562602788237436,Chthamalus sp.,5,0.2
Beagle,99,4.996262353457473,2.554861386138614,9.08134212409019,78,1.955590381757956,Nematoda,3,0.3333333333333333
Beagle,96,3.2886580237168546,2.4558910891089107,9.564130467093786,78,1.3390895216408407,Gondogeneia antarctica,3,0.3333333333333333
Beagle,116,0.17524302531364153,2.413178217821782,3.964057612188891,73,0.07261918080456649,Galaxias maculatus,3,0.3333333333333333
Beagle,88,4.840063313470332,2.3135148514851487,9.749768047342329,82,2.092082231658586,Spionidae,3,0.3333333333333333
Beagle,23,0.58195584341844675,2.154326732673267,5.162626920155747,77,0.27013351066590896,Eurypodius latreillii,3,0.3333333333333333
Beagle,30,0.8178848423541252,2.1134653465346536,6.066465280622737,79,0.38698758117570803,Notochthamalus scabrosus,3,0.3333333333333333
Beagle,53,1.48441721093719,2.1096039603960395,7.93132459995869,80,0.7036473379859023,Peltarion spinosulum,3,0.3333333333333333
Beagle,35,10.973522286232777,2.078920792079208,8.593320438349553,90,5.2784706026523205,Calanus australis,2,0.5
Beagle,86,5.491104283147708,2.010594059405941,8.609917925664952,88,2.731085500556057,Orbiniidae,3,0.3333333333333333
Beagle,49,2.007851328167931,2.0002376237623762,8.22682536922085,82,1.003806399957238,Polychaeta,5,0.2
Beagle,74,1.400131388130392,1.9744356435643564,6.810598744255554,83,0.7091299190703427,Notobalanus flosculus,3,0.3333333333333333
Beagle,55,6.032863549281976,1.9024554455445544,7.632142136621507,90,3.171093211886044,Maldanidae,2,0.5
Beagle,87,0.15424291506844726,1.8798613861386138,4.559735758812151,81,0.08205015338140148,Polynoidae,3,0.3333333333333333
Beagle,19,0.6952765262639098,1.8434752475247524,6.617397445291408,85,0.37715533593275125,Balanus sp.,3,0.3333333333333333
Beagle,36,0.36702949562199844,1.8326138613861387,4.431029002163949,84,0.20027650306234585,Oncaea curvata,2,0.5
Beagle,105,0.1789978371313753,1.8272277227722773,4.124622711535255,83,0.09796142806973127,Aurelia aurita,2,0.5
Beagle,9,0.8241454187902248,1.7603564356435644,6.944013199823231,87,0.4681696286632585,Gaimardia trapesina,3,0.3333333333333333
Beagle,52,0.6031141901300108,1.6273762376237624,5.508023449688856,89,0.3706052578294107,Onuphidae,3,0.3333333333333333
Beagle,111,0.17830500509872987,1.4364257425742575,3.6238582130580608,92,0.12413102871519459,Centropages brachiatus,2,0.5
Beagle,31,0.3365762975357037,1.424940594059406,4.4074370672196155,93,0.23620373995863,Perumytilus purpuratus,2,0.5
Beagle,21,0.3375016020813515,1.3895148514851485,4.373363729477607,93,0.24289168390004703,Ascidiacea,2,0.5
Beagle,39,0.18111986534112776,1.24590099009901,3.418899365713017,96,0.14537259925183496,Copepoda,2,0.5
Beagle,112,0.19305104815466978,1.159049504950495,3.2493589111289776,97,0.16655979518572447,Clausocalanus brevipes,2,0.5
Beagle,37,0.328416248522454,1.1551980198019802,3.870255660661039,97,0.28429433126863385,Paracalanus parvus,2,0.5
Beagle,78,2.178962954242281,0.9615148514851485,5.718066131156591,100,2.2661771171570275,Salpidae,1,1
Beagle,101,0.05214351239051557,0.8602673267326733,2.7583544948971896,100,0.06061314985489282,Obelia sp.,1,1
Beagle,17,3.140017959255019,0.7860990099009901,6.047711204316131,105,3.9944306247765238,Serpulidae,1,1
Beagle,73,0.07621362852657863,0.7855148514851485,3.277536001669888,101,0.09702379068006657,Priapulida,1,1
Beagle,80,0.08152516578308533,0.7531287128712871,3.1835104426935272,102,0.10824864912170508,Acartia tonsa,1,1
Beagle,75,0.0879176415169771,0.7496039603960396,3.1916677055644045,103,0.11728545493613377,Actinaria,1,1
Beagle,7,0.34171233058061573,0.6988910891089108,4.346247216261968,105,0.48893502278917367,Crepipatella dilatata,1,1
Beagle,83,0.10672380981405857,0.6580891089108911,3.8724798385659853,106,0.1621722778404308,Austroregia huxleyana,1,1
Beagle,102,0.08899501636142368,0.6565445544554456,3.531298496172326,106,0.13555061230419976,Bryozoa,1,1
Beagle,38,0.08185087989976929,0.6533861386138614,3.6508848187747525,106,0.1252718340083146,Tisbe sp.,1,1
Beagle,34,0.08541322632134724,0.6415148514851485,3.650628176915044,106,0.13314302252490348,Membranipora isabelleana,1,1
Beagle,82,0.07360989840203494,0.5851485148514851,3.4136128592376647,108,0.12579694989180254,Oithona similis,1,1
Beagle,85,0.09326597812495038,0.5775247524752475,3.6239526808490465,108,0.1614926074167665,Jassa alonsoae,1,1
Beagle,5,0.10749359642988209,0.5757128712871287,3.683890613203658,108,0.18671390165301893,Amphipoda,1,1
